Time to failure, Number of defective sites, Fraction of defect
0.006279904712125245, 581, 0.04648
0.00608639657454899, 508, 0.04064
0.0077655797224453526, 715, 0.0572
0.008737728154695904, 727, 0.05816
0.004906266641844486, 420, 0.0336
0.009548550273528965, 787, 0.06296
0.009016935358917264, 788, 0.06304
0.0030782677261755576, 289, 0.02312
0.004989657509112871, 415, 0.0332
0.007279408360151381, 634, 0.05072
0.005748536009881712, 487, 0.03896
0.01121702822774404, 886, 0.07088
0.009993799651402542, 868, 0.06944
0.00611819185085594, 481, 0.03848
0.004768672755760632, 392, 0.03136
0.007706602842123881, 620, 0.0496
0.009509922026204291, 809, 0.06472
0.008585956837490041, 732, 0.05856
0.004484085656791231, 392, 0.03136
0.0041597624533938745, 386, 0.03088
0.008639666692173842, 782, 0.06256
0.0036643112198114286, 311, 0.02488
0.00626824429969796, 536, 0.04288
0.00943637608208713, 789, 0.06312
0.009672995402342687, 774, 0.06192
0.0103060907779265, 858, 0.06864
0.007107556941085122, 613, 0.04904
0.010518717858326577, 942, 0.07536
0.00893545060354638, 746, 0.05968
0.006173280062491053, 529, 0.04232
0.007461524048008369, 591, 0.04728
0.012569718736045633, 1074, 0.08592
0.007744204218342805, 658, 0.05264
0.006461472299716323, 545, 0.0436
0.0062946699791856155, 544, 0.04352
0.005490246914470055, 452, 0.03616
0.003195591993117586, 274, 0.02192
0.01075829976967671, 914, 0.07312
0.008694212732912059, 733, 0.05864
0.0071603881446867055, 620, 0.0496
0.009140059636500147, 713, 0.05704
0.007279236209280724, 650, 0.052
0.004429548519925375, 363, 0.02904
0.006238571993348889, 531, 0.04248
0.005412207566067275, 463, 0.03704
0.00542811630424495, 460, 0.0368
0.0075918224254762105, 675, 0.054
0.012424754903163443, 1049, 0.08392
0.009495964823892974, 781, 0.06248
0.003962577309316646, 332, 0.02656
0.01255999618652314, 1032, 0.08256
0.0061781077126488015, 521, 0.04168
0.008706784676944457, 784, 0.06272
0.01284545898728266, 1035, 0.0828
0.008906012295063544, 706, 0.05648
0.006407452243036936, 540, 0.0432
0.010061246719473092, 831, 0.06648
0.006126011326132287, 548, 0.04384
0.0028353725583086247, 239, 0.01912
0.009757490950517941, 812, 0.06496
0.005180539988262778, 472, 0.03776
0.007820751484484906, 671, 0.05368
0.009232190075480689, 824, 0.06592
0.0074854707730963735, 619, 0.04952
0.012863655425167285, 1040, 0.0832
0.004314644103578788, 399, 0.03192
0.007780677537235266, 674, 0.05392
0.008685511019586164, 733, 0.05864
0.010521622076876166, 860, 0.0688
0.005299980427226424, 484, 0.03872
0.008494206747061693, 722, 0.05776
0.008081820804287999, 646, 0.05168
0.008085607078039998, 662, 0.05296
0.006639724279333008, 568, 0.04544
0.006419469298437466, 541, 0.04328
0.012714018530984776, 1040, 0.0832
0.008081833446509108, 685, 0.0548
0.009740685837951232, 828, 0.06624
0.01273176881125884, 1059, 0.08472
0.01248175242287129, 1036, 0.08288
0.010020826601569494, 824, 0.06592
0.009814711906907896, 801, 0.06408
0.00927511589477529, 761, 0.06088
0.007548139125826915, 676, 0.05408
0.007406085819748409, 546, 0.04368
0.004900724765434691, 418, 0.03344
0.008024811522605141, 642, 0.05136
0.013237096067240389, 1061, 0.08488
0.008935862693598449, 781, 0.06248
0.008279196185953443, 722, 0.05776
0.007248054637589961, 584, 0.04672
0.009514901231278827, 813, 0.06504
0.004978671737024233, 423, 0.03384
0.009923407426047326, 818, 0.06544
0.006915036456792345, 580, 0.0464
0.008268098264256125, 716, 0.05728
0.00586238035666154, 499, 0.03992
0.004506011486250098, 388, 0.03104
0.012944754721572116, 1048, 0.08384
0.008551095490891475, 716, 0.05728
0.010004974018377672, 813, 0.06504
0.007724971932947911, 688, 0.05504
0.005876423690091399, 510, 0.0408
0.00948604122660348, 827, 0.06616
0.00713942093480118, 615, 0.0492
0.010869691217839986, 913, 0.07304
0.009189892760173242, 760, 0.0608
0.00519459558399733, 437, 0.03496
0.008607590995170611, 769, 0.06152
0.009637758431683442, 822, 0.06576
0.00518334089123462, 400, 0.032
0.00592544915661191, 495, 0.0396
0.006314956295889313, 563, 0.04504
0.007217452442396772, 604, 0.04832
0.009576559130357497, 812, 0.06496
0.005732497211231103, 489, 0.03912
0.006017563274024505, 522, 0.04176
0.008667611925693049, 711, 0.05688
0.006826531788202625, 619, 0.04952
0.011038456043547359, 891, 0.07128
0.0064594266355618895, 589, 0.04712
0.006826602200641796, 572, 0.04576
0.009843786159757, 827, 0.06616
0.010862466104482004, 924, 0.07392
0.007147355787635986, 613, 0.04904
0.010374765533267069, 873, 0.06984
0.008928313037942105, 737, 0.05896
0.007561111100701109, 656, 0.05248
0.008415676622876699, 685, 0.0548
0.011059062583303024, 873, 0.06984
0.006509000771700323, 530, 0.0424
0.009125196408167145, 812, 0.06496
0.012112676782974464, 1020, 0.0816
0.00779614524297151, 674, 0.05392
0.008879321088241856, 740, 0.0592
0.011041561733622213, 890, 0.0712
0.01087834906049828, 866, 0.06928
0.009449058205805105, 810, 0.0648
0.005255557921093584, 453, 0.03624
0.010932701418340582, 889, 0.07112
0.008422852115740577, 746, 0.05968
0.008019276929098816, 683, 0.05464
0.00806137667801761, 734, 0.05872
0.010119457724007649, 855, 0.0684
0.005696118793989414, 476, 0.03808
0.011156309162186226, 908, 0.07264
0.008401069457471006, 725, 0.058
0.007486197065592831, 615, 0.0492
0.0061978098977185665, 543, 0.04344
0.003604394790397595, 314, 0.02512
0.0070437550395688235, 582, 0.04656
0.008949213394867619, 719, 0.05752
0.004462118533527233, 379, 0.03032
0.007504904702530366, 610, 0.0488
0.008103593361510805, 744, 0.05952
0.007191304643007246, 591, 0.04728
0.010368330921436058, 845, 0.0676
0.0064423644742407395, 573, 0.04584
0.012971286177174428, 1075, 0.086
0.00920496967875909, 791, 0.06328
0.011040266320191052, 870, 0.0696
0.00865458589787133, 684, 0.05472
0.00590945315030898, 519, 0.04152
0.011982516655596393, 987, 0.07896
0.010316689091427795, 868, 0.06944
0.008525781124157377, 735, 0.0588
0.008611923568195968, 718, 0.05744
0.007285162587757948, 658, 0.05264
0.006359752755561465, 539, 0.04312
0.011696763529963933, 986, 0.07888
0.010194509650559463, 826, 0.06608
0.006236546666316447, 561, 0.04488
0.00893222269636005, 716, 0.05728
0.009420210984633762, 758, 0.06064
0.010184408362705469, 895, 0.0716
0.007824254957856413, 680, 0.0544
0.004089404273780162, 350, 0.028
0.007566252555045867, 632, 0.05056
0.004276151807230463, 370, 0.0296
0.006555075848214134, 553, 0.04424
0.007480100247617324, 617, 0.04936
0.005050872429306654, 432, 0.03456
0.008020203161971242, 685, 0.0548
0.008785030699239776, 678, 0.05424
0.011779112184115675, 974, 0.07792
0.005847760654682345, 502, 0.04016
0.008900589735868427, 810, 0.0648
0.008212733934862021, 670, 0.0536
0.008519450963063278, 743, 0.05944
0.007705996397973137, 638, 0.05104
0.006651576074348873, 577, 0.04616
0.013966855000437536, 1142, 0.09136
0.009517798932535203, 791, 0.06328
0.007545941183163495, 613, 0.04904
0.008557925493128478, 690, 0.0552
0.010427233480980163, 911, 0.07288
0.0063726096560092595, 541, 0.04328
0.005725068905434773, 523, 0.04184
0.0076913477760075415, 697, 0.05576
0.009452333637369054, 770, 0.0616
0.0073587553855950965, 595, 0.0476
0.009423719528517352, 764, 0.06112
0.009761396587018073, 813, 0.06504
0.009167710824700383, 801, 0.06408
0.009155444654819708, 774, 0.06192
0.009836800187446978, 847, 0.06776
0.0067763452348431254, 534, 0.04272
0.006205446386584599, 547, 0.04376
0.007525121805074993, 622, 0.04976
0.008408290718730095, 725, 0.058
0.005614865223987855, 522, 0.04176
0.006167928862627083, 490, 0.0392
0.005572450820725884, 490, 0.0392
0.008676619177775551, 770, 0.0616
0.00873884414633941, 694, 0.05552
0.003900557523640997, 354, 0.02832
0.010322652539155807, 866, 0.06928
0.007090039871386215, 609, 0.04872
0.007831970931821844, 689, 0.05512
0.00620597834871403, 538, 0.04304
0.010631124225562588, 876, 0.07008
0.011237552216887924, 872, 0.06976
0.006487461010773852, 541, 0.04328
0.004537393056634198, 368, 0.02944
0.009454777137266652, 776, 0.06208
0.010626420971600884, 838, 0.06704
0.006293895160658713, 585, 0.0468
0.006136542569259263, 538, 0.04304
0.0019874018563039546, 181, 0.01448
0.004025894167722836, 334, 0.02672
0.008276974001304047, 646, 0.05168
0.0086564509221423, 732, 0.05856
0.008628437946995563, 754, 0.06032
0.010384928235322687, 881, 0.07048
0.008830396152637818, 708, 0.05664
0.0077207311113028365, 627, 0.05016
0.011782425246844992, 950, 0.076
0.005713562611619442, 488, 0.03904
0.005007770221645172, 435, 0.0348
0.011131453628570773, 933, 0.07464
0.009813064827410074, 783, 0.06264
0.009750135349701438, 871, 0.06968
0.004894089751927301, 413, 0.03304
0.00728687884685841, 570, 0.0456
0.005121399146986907, 451, 0.03608
0.011235993486921244, 931, 0.07448
0.006762341523299065, 549, 0.04392
0.006220309465961629, 539, 0.04312
0.006589368336459148, 577, 0.04616
0.011166352230003847, 906, 0.07248
0.010190813635517068, 882, 0.07056
0.007858676473530118, 679, 0.05432
0.010344705896922556, 889, 0.07112
0.010605967226510618, 801, 0.06408
0.006465505576706927, 532, 0.04256
0.008320290843988979, 691, 0.05528
0.009464637557080874, 806, 0.06448
0.010098480898958923, 905, 0.0724
0.007638795410216349, 611, 0.04888
0.004648944193196125, 405, 0.0324
0.009628919341128594, 808, 0.06464
0.008753222009294123, 754, 0.06032
0.009130108322481545, 760, 0.0608
0.00660748316942672, 537, 0.04296
0.008228026653160768, 680, 0.0544
0.00805888786381484, 689, 0.05512
0.009874783388164934, 854, 0.06832
0.010339822106543236, 890, 0.0712
0.006943744589636879, 578, 0.04624
0.005041972643805155, 432, 0.03456
0.008599923669438313, 671, 0.05368
0.00571569267752627, 484, 0.03872
0.00835141813287423, 708, 0.05664
0.012611148636305426, 1047, 0.08376
0.010125633045371132, 844, 0.06752
0.008078108219576139, 697, 0.05576
0.00369380538194061, 321, 0.02568
0.012255191288087596, 976, 0.07808
0.008274486007844889, 657, 0.05256
0.011321445358178415, 905, 0.0724
0.007330969434355629, 618, 0.04944
0.013136543246196123, 1067, 0.08536
0.005891726728449457, 476, 0.03808
0.008739473733612961, 715, 0.0572
0.008825550877678718, 771, 0.06168
0.007975518851522763, 687, 0.05496
0.005747461114905681, 487, 0.03896
0.006845461294880762, 556, 0.04448
0.008758165740625986, 744, 0.05952
0.012987864836522594, 1026, 0.08208
0.0027233004513455765, 245, 0.0196
0.010423986374626997, 854, 0.06832
0.00906678479272392, 755, 0.0604
0.006275501203665781, 530, 0.0424
0.009481635812054297, 774, 0.06192
0.011778153792895795, 944, 0.07552
0.009560031474017811, 774, 0.06192
0.007234186223581229, 619, 0.04952
0.0058125477404474424, 502, 0.04016
0.009580649379744696, 797, 0.06376
