Time to failure, Number of defective sites, Fraction of defect
0.0563329668463889, 2066, 0.16528
0.07056294113431293, 2496, 0.19968
0.05424129941560233, 1975, 0.158
0.05521600931488701, 2099, 0.16792
0.04831093332968216, 1845, 0.1476
0.04908094408496, 1875, 0.15
0.06453325244814745, 2331, 0.18648
0.045352139713961945, 1811, 0.14488
0.044416445212952876, 1687, 0.13496
0.04715777761706405, 1823, 0.14584
0.06636905150208462, 2436, 0.19488
0.04754868417861621, 1779, 0.14232
0.06023589936044735, 2155, 0.1724
0.06285579825222602, 2272, 0.18176
0.053615456914075064, 2033, 0.16264
0.04393494089191114, 1611, 0.12888
0.047129537537552633, 1750, 0.14
0.04987719288301481, 1886, 0.15088
0.04232832447025245, 1622, 0.12976
0.041335965391968196, 1548, 0.12384
0.05772192755583356, 2114, 0.16912
0.05460271495188982, 2073, 0.16584
0.0572769644532845, 2070, 0.1656
0.054462731080624244, 2047, 0.16376
0.062120218176490896, 2285, 0.1828
0.050250373483893065, 1957, 0.15656
0.039214889023930145, 1486, 0.11888
0.04300350527365898, 1579, 0.12632
0.036715127789478955, 1415, 0.1132
0.059237420114721884, 2154, 0.17232
0.04348109176783127, 1662, 0.13296
0.05271438285195292, 1937, 0.15496
0.05562970894758051, 2090, 0.1672
0.05508456385067324, 2053, 0.16424
0.0653459996102042, 2385, 0.1908
0.04983931404813327, 1810, 0.1448
0.05255438841665086, 1946, 0.15568
0.04675989058611408, 1783, 0.14264
0.04893870761679946, 1846, 0.14768
0.03997505336482309, 1581, 0.12648
0.06484659690425114, 2281, 0.18248
0.05823549466719203, 2118, 0.16944
0.05460633070258687, 1976, 0.15808
0.050268069644196785, 1872, 0.14976
0.04915717318200213, 1817, 0.14536
0.0639247404363601, 2341, 0.18728
0.06315163436658723, 2362, 0.18896
0.06817827090945223, 2437, 0.19496
0.028185306474755895, 1073, 0.08584
0.05287876394387379, 1987, 0.15896
0.03741117816504273, 1396, 0.11168
0.06818076964282795, 2480, 0.1984
0.06242321108249204, 2246, 0.17968
0.04118432646751167, 1522, 0.12176
0.05261097957898491, 1931, 0.15448
0.05508036184056126, 2074, 0.16592
0.05146924195876768, 1939, 0.15512
0.06322831834945618, 2315, 0.1852
0.03967102978639548, 1497, 0.11976
0.052243230494832045, 1973, 0.15784
0.0353406156518597, 1365, 0.1092
0.04832682979119068, 1868, 0.14944
0.06407463236726123, 2278, 0.18224
0.049818546689682476, 1894, 0.15152
0.05755431960788651, 2106, 0.16848
0.05152345559155611, 1975, 0.158
0.053187866800626864, 1975, 0.158
0.058936365415865895, 2259, 0.18072
0.040088731763850596, 1552, 0.12416
0.0632859372126032, 2290, 0.1832
0.04061915948395804, 1506, 0.12048
0.07735540082632873, 2758, 0.22064
0.06586193684394233, 2381, 0.19048
0.04910415778290368, 1855, 0.1484
0.046731900635038924, 1793, 0.14344
0.04866002694570834, 1823, 0.14584
0.05731628085210106, 2094, 0.16752
0.049568669812005785, 1833, 0.14664
0.05006115597516714, 1854, 0.14832
0.037105881777615826, 1484, 0.11872
0.04311538889304314, 1686, 0.13488
0.04068095881263867, 1595, 0.1276
0.07107303204462781, 2581, 0.20648
0.041642404212746294, 1573, 0.12584
0.055866845001162846, 2090, 0.1672
0.05472200001050909, 2092, 0.16736
0.043257338899976946, 1675, 0.134
0.06258008527005778, 2379, 0.19032
0.05392426153474469, 2029, 0.16232
0.03196550016553921, 1257, 0.10056
0.03509864855535563, 1305, 0.1044
0.054505040474611015, 2042, 0.16336
0.058804360444867504, 2126, 0.17008
0.04125229916486611, 1600, 0.128
0.06722761538392967, 2412, 0.19296
0.06133138074954058, 2327, 0.18616
0.041332892762774916, 1581, 0.12648
0.026800560305138617, 1040, 0.0832
0.046909240245582566, 1732, 0.13856
0.04364692538193599, 1658, 0.13264
0.03868096211510813, 1470, 0.1176
0.057118549944055054, 2072, 0.16576
0.06646712125570836, 2422, 0.19376
0.04755634883557875, 1814, 0.14512
0.05083425922307727, 1871, 0.14968
0.06999916866647747, 2594, 0.20752
0.05456229684890357, 1949, 0.15592
0.054466483197417426, 2100, 0.168
0.05900305943851361, 2217, 0.17736
0.03184535876739475, 1262, 0.10096
0.062263764181787515, 2262, 0.18096
0.05449786912063387, 2018, 0.16144
0.062037473616197374, 2285, 0.1828
0.06271998573395375, 2250, 0.18
0.045033716815798486, 1727, 0.13816
0.05208461230901852, 1956, 0.15648
0.04626388150503708, 1724, 0.13792
0.04523516800474925, 1681, 0.13448
0.04292281724959317, 1668, 0.13344
0.047834086536220614, 1773, 0.14184
0.06521457763106234, 2312, 0.18496
0.06815713998346483, 2406, 0.19248
0.06384770813045722, 2290, 0.1832
0.037257371551760926, 1438, 0.11504
0.042613080099798264, 1663, 0.13304
0.04461424033972097, 1679, 0.13432
0.07660816708443845, 2759, 0.22072
0.04445336436973656, 1692, 0.13536
0.04827929775151212, 1818, 0.14544
0.06449498598579698, 2340, 0.1872
0.05765963221502451, 2119, 0.16952
0.06144667796441148, 2315, 0.1852
0.04817223859525573, 1826, 0.14608
0.06150720387931062, 2246, 0.17968
0.060681193776542706, 2187, 0.17496
0.06333313347425955, 2320, 0.1856
0.06555862697051425, 2373, 0.18984
0.04035997841529505, 1590, 0.1272
0.050557160552774434, 1980, 0.1584
0.05714834483681163, 2085, 0.1668
0.042611039047908195, 1591, 0.12728
0.06477135635168643, 2368, 0.18944
0.055802733633196856, 2103, 0.16824
0.05899015807481795, 2170, 0.1736
0.058341941410289595, 2179, 0.17432
0.0685068451104365, 2489, 0.19912
0.05666025499232086, 2195, 0.1756
0.04594249472529781, 1664, 0.13312
0.047858663988613555, 1756, 0.14048
0.05430334410410239, 2052, 0.16416
0.05057166686151444, 1889, 0.15112
0.061375560078838015, 2247, 0.17976
0.050911828747592876, 1937, 0.15496
0.04560940924146454, 1685, 0.1348
0.06264116602326832, 2323, 0.18584
0.032823208499009084, 1251, 0.10008
0.028964956532847554, 1153, 0.09224
0.04141198426620718, 1578, 0.12624
0.03671420393111173, 1411, 0.11288
0.05903724649314638, 2219, 0.17752
0.053981021869217945, 1991, 0.15928
0.04783634159948305, 1789, 0.14312
0.06364705272696569, 2363, 0.18904
0.06685902937731375, 2475, 0.198
0.059353476154629096, 2227, 0.17816
0.04472923283846734, 1715, 0.1372
0.023700291090350503, 934, 0.07472
0.03662684130164186, 1395, 0.1116
0.06741579221788253, 2405, 0.1924
0.05429434501781997, 2015, 0.1612
0.04789740448402754, 1831, 0.14648
0.05952304701405353, 2181, 0.17448
0.05296083704154796, 2018, 0.16144
0.0655235043399121, 2360, 0.1888
0.058128982812574274, 2127, 0.17016
0.062109493123694785, 2216, 0.17728
0.05641920511129939, 2158, 0.17264
0.05269730684058876, 1965, 0.1572
0.06633510973940082, 2378, 0.19024
0.053303743904901904, 1938, 0.15504
0.06095782910743628, 2243, 0.17944
0.02944678277194952, 1130, 0.0904
0.04597311813279881, 1677, 0.13416
0.06503958578798902, 2398, 0.19184
0.042829095002878945, 1598, 0.12784
0.05465708146077925, 2053, 0.16424
0.049745538607314545, 1851, 0.14808
0.04212152550668922, 1567, 0.12536
0.05693182829471401, 2108, 0.16864
0.05451186094294284, 2011, 0.16088
0.03610175471409747, 1357, 0.10856
0.05543362786293088, 2112, 0.16896
0.05217116191698738, 1953, 0.15624
0.036313870717643026, 1352, 0.10816
0.04627032023174858, 1792, 0.14336
0.050043387920213026, 1874, 0.14992
0.039873494218702205, 1503, 0.12024
0.05586762195851142, 2145, 0.1716
0.056334181808071856, 2086, 0.16688
0.0369818558823879, 1440, 0.1152
0.07176608196763062, 2644, 0.21152
0.05825813978632835, 2116, 0.16928
0.06412632518474014, 2265, 0.1812
0.05719987416967986, 2077, 0.16616
0.06557880989544505, 2343, 0.18744
0.05111840590243811, 1899, 0.15192
0.029036140393225985, 1094, 0.08752
0.0566372437182955, 2045, 0.1636
0.0446859750875112, 1701, 0.13608
0.05941237589856012, 2175, 0.174
0.03705289065718512, 1427, 0.11416
0.038344138297760115, 1433, 0.11464
0.0653640453305209, 2445, 0.1956
0.05989360999565574, 2192, 0.17536
0.06548021685658932, 2348, 0.18784
0.05709693828453827, 2171, 0.17368
0.05405198829750934, 2017, 0.16136
0.036996176034311684, 1397, 0.11176
0.04706780921258098, 1742, 0.13936
0.04476288322722445, 1720, 0.1376
0.04952883672949376, 1930, 0.1544
0.04920737493219157, 1875, 0.15
0.04422626931512987, 1637, 0.13096
0.05817110556815129, 2117, 0.16936
0.04894864216894648, 1882, 0.15056
0.05268649567840908, 1943, 0.15544
0.03673408944561093, 1395, 0.1116
0.057380116446641066, 2082, 0.16656
0.030304588816013764, 1163, 0.09304
0.06936880421320256, 2497, 0.19976
0.04982588564175379, 1868, 0.14944
0.06106905710467, 2192, 0.17536
0.04541845744616124, 1780, 0.1424
0.04185686661389903, 1546, 0.12368
0.036154562944436336, 1418, 0.11344
