Time to failure, Number of defective sites, Fraction of defect
0.03027233997346115, 3260, 0.2608
0.03683116862689431, 3690, 0.2952
0.02240642384246995, 2498, 0.19984
0.03189187583962004, 3294, 0.26352
0.021542399465829077, 2527, 0.20216
0.043384006439116767, 4110, 0.3288
0.03391967964811477, 3473, 0.27784
0.04571272214568566, 4192, 0.33536
0.025796269290849952, 2892, 0.23136
0.040002572867424604, 3865, 0.3092
0.021440032982883356, 2483, 0.19864
0.03658251026939793, 3655, 0.2924
0.03938232883737572, 3867, 0.30936
0.0269045851513477, 2920, 0.2336
0.0346900534439844, 3606, 0.28848
0.03680169360584084, 3601, 0.28808
0.03369253929664881, 3447, 0.27576
0.028040681377387047, 3015, 0.2412
0.03308246443912457, 3363, 0.26904
0.033945551590660386, 3555, 0.2844
0.019232093745465022, 2242, 0.17936
0.03044579971817217, 3203, 0.25624
0.04566412618917346, 4190, 0.3352
0.029688961547245204, 3223, 0.25784
0.039639258472264495, 3871, 0.30968
0.03538615659335542, 3603, 0.28824
0.027706662058182424, 3064, 0.24512
0.040264033090661275, 3913, 0.31304
0.02551985527073044, 2752, 0.22016
0.02737338433366615, 2988, 0.23904
0.018898227811605744, 2243, 0.17944
0.03384816703803771, 3401, 0.27208
0.030112908644497133, 3208, 0.25664
0.03742461508102845, 3748, 0.29984
0.03962440894624308, 3971, 0.31768
0.014226064686561445, 1837, 0.14696
0.04423013412300431, 4109, 0.32872
0.03269849236380473, 3380, 0.2704
0.02807171316528744, 3023, 0.24184
0.039609126885143835, 3827, 0.30616
0.03498099715979544, 3597, 0.28776
0.02338673085889624, 2619, 0.20952
0.03745887847903034, 3745, 0.2996
0.022660780474281387, 2592, 0.20736
0.03125371355799386, 3272, 0.26176
0.02699369406255137, 2957, 0.23656
0.02967145114365795, 3145, 0.2516
0.044193796744585616, 4128, 0.33024
0.020588162786814555, 2417, 0.19336
0.046034376039908786, 4215, 0.3372
0.052612421454817995, 4639, 0.37112
0.03853864687802079, 3817, 0.30536
0.022887673025484338, 2567, 0.20536
0.023548587287061794, 2640, 0.2112
0.02512207131115478, 2800, 0.224
0.02986809648578886, 3120, 0.2496
0.03879609858037347, 3909, 0.31272
0.028679425782978774, 3102, 0.24816
0.028444987866216104, 3056, 0.24448
0.037059544496835, 3724, 0.29792
0.034415734407520146, 3526, 0.28208
0.019032139869315946, 2223, 0.17784
0.029684140790701936, 3167, 0.25336
0.02505609649115489, 2801, 0.22408
0.02509904759455134, 2768, 0.22144
0.02673779364694443, 2914, 0.23312
0.027445678004442683, 2985, 0.2388
0.028142688188057544, 3098, 0.24784
0.030317801402822787, 3233, 0.25864
0.036313726709453834, 3604, 0.28832
0.019604095640600557, 2303, 0.18424
0.022041825898227587, 2471, 0.19768
0.034612804528351276, 3566, 0.28528
0.01477509630776905, 1830, 0.1464
0.021537492713290838, 2490, 0.1992
0.033911867630702294, 3378, 0.27024
0.02312223679055826, 2632, 0.21056
0.03919047264692248, 3875, 0.31
0.027726999325357084, 3052, 0.24416
0.03409739162295238, 3403, 0.27224
0.023013747679664052, 2575, 0.206
0.04443939055208931, 4187, 0.33496
0.031009719708054145, 3324, 0.26592
0.03340360839994341, 3452, 0.27616
0.03580766935174959, 3608, 0.28864
0.042167160957227535, 3983, 0.31864
0.03476217315370165, 3576, 0.28608
0.03384429359178757, 3453, 0.27624
0.013070314805481447, 1577, 0.12616
0.020203839616369408, 2348, 0.18784
0.032368750922815916, 3363, 0.26904
0.03711631819231758, 3611, 0.28888
0.03154580740336465, 3222, 0.25776
0.027436661407953398, 2947, 0.23576
0.027459049008278818, 2937, 0.23496
0.02677593855702757, 2937, 0.23496
0.016849544986535882, 2039, 0.16312
0.022826381392040147, 2626, 0.21008
0.03280852150849464, 3475, 0.278
0.02858607126388967, 3067, 0.24536
0.02200641163117859, 2550, 0.204
0.027032392569427667, 3029, 0.24232
0.030044482191166223, 3234, 0.25872
0.021445350811006264, 2518, 0.20144
0.02659319431244268, 2866, 0.22928
0.0329288167830028, 3468, 0.27744
0.04007448719414294, 3871, 0.30968
0.03708968385590813, 3710, 0.2968
0.027611878255193813, 2972, 0.23776
0.02694142699981273, 2921, 0.23368
0.0458064691341644, 4237, 0.33896
0.03542598478780601, 3563, 0.28504
0.03378112986574145, 3505, 0.2804
0.028054877944911506, 3011, 0.24088
0.035697720105694525, 3652, 0.29216
0.03185851044539491, 3282, 0.26256
0.024330914726447314, 2782, 0.22256
