Time to failure, Number of defective sites, Fraction of defect
0.02319073773619006, 3142, 0.25136
0.028926064819236794, 3634, 0.29072
0.029914582140670946, 3691, 0.29528
0.032307040203313014, 3879, 0.31032
0.03940285163675324, 4365, 0.3492
0.026279968254985884, 3339, 0.26712
0.016694061830471188, 2512, 0.20096
0.036453483069359006, 4200, 0.336
0.03433802971611355, 4137, 0.33096
0.04457837754727666, 4641, 0.37128
0.02939019988095934, 3560, 0.2848
0.025223580598493636, 3328, 0.26624
0.03223040668986367, 3893, 0.31144
0.025100585257082555, 3307, 0.26456
0.04064678592818452, 4335, 0.3468
0.016033107774014423, 2372, 0.18976
0.024480072222407546, 3246, 0.25968
0.02996497857917971, 3792, 0.30336
0.04723026940031352, 4724, 0.37792
0.022955083931921087, 3061, 0.24488
0.04324927729618782, 4567, 0.36536
0.037515221081281545, 4246, 0.33968
0.01568820412328847, 2327, 0.18616
0.0316184326259732, 3804, 0.30432
0.042071200212242185, 4577, 0.36616
0.025509836846219738, 3297, 0.26376
0.026419344187083808, 3419, 0.27352
0.03643072774497752, 4218, 0.33744
0.02297827672350146, 3124, 0.24992
0.04117566412347115, 4465, 0.3572
0.044753648548302764, 4654, 0.37232
0.03507375358206608, 4065, 0.3252
0.030341946407922735, 3738, 0.29904
0.015562137717006192, 2288, 0.18304
0.04096508205230037, 4497, 0.35976
0.035909281781427244, 4217, 0.33736
0.01984393632561238, 2782, 0.22256
0.026257840585482, 3438, 0.27504
0.03577594959054862, 4128, 0.33024
0.020106545496230463, 2815, 0.2252
0.02665401931257027, 3423, 0.27384
0.03534762617695293, 4096, 0.32768
0.02943674091490531, 3718, 0.29744
0.03783351802461127, 4272, 0.34176
0.021088857052616847, 2914, 0.23312
0.04090817544831075, 4480, 0.3584
0.032829309587554076, 3958, 0.31664
0.036732944411715256, 4239, 0.33912
0.02754899055437036, 3491, 0.27928
0.029054978807054405, 3660, 0.2928
0.028655178717139816, 3616, 0.28928
0.029373124801141, 3634, 0.29072
0.02621819801453155, 3389, 0.27112
0.03034532324324857, 3708, 0.29664
0.048836176707908026, 4888, 0.39104
0.03730356615380999, 4270, 0.3416
0.02974143213392256, 3761, 0.30088
0.033079204269883485, 3916, 0.31328
0.0056782433433073005, 953, 0.07624
0.03615792141116746, 4177, 0.33416
0.03855778703236869, 4269, 0.34152
0.010737069037073516, 1819, 0.14552
0.036118631486040935, 4181, 0.33448
0.03254041042300007, 3895, 0.3116
0.026178164115082087, 3350, 0.268
0.01670859986184566, 2501, 0.20008
0.03806675442488398, 4350, 0.348
0.02355885380028896, 3160, 0.2528
0.030355794647019582, 3767, 0.30136
0.021242455537132342, 2987, 0.23896
0.030395741095299456, 3767, 0.30136
0.021978502020748577, 2963, 0.23704
0.015272960730559646, 2225, 0.178
0.029100371797286424, 3690, 0.2952
0.019714214792009754, 2849, 0.22792
0.03437682491633292, 4079, 0.32632
0.027407179764742513, 3396, 0.27168
0.034738369310304655, 4062, 0.32496
0.02589251404300405, 3399, 0.27192
0.02415910284434419, 3222, 0.25776
0.03093723529885483, 3747, 0.29976
0.02210284789549244, 2970, 0.2376
0.03639483300262044, 4186, 0.33488
0.04070190989996602, 4452, 0.35616
0.03494318686886014, 4086, 0.32688
0.03373170719905374, 3982, 0.31856
0.02916522441459418, 3700, 0.296
0.02605462431376097, 3386, 0.27088
0.02798769411277292, 3590, 0.2872
0.018118287991420557, 2591, 0.20728
0.023483649221879142, 3178, 0.25424
0.03646708123084151, 4196, 0.33568
0.036748585454582886, 4164, 0.33312
0.03569595901244895, 4166, 0.33328
