Time to failure, Number of defective sites, Fraction of defect
0.01703728300131108, 1692, 0.0846
0.015778022336732325, 1662, 0.0831
0.01716396295186822, 1699, 0.08495
0.018433506662565064, 1863, 0.09315
0.018955376933241078, 1871, 0.09355
0.017670904588230514, 1768, 0.0884
0.018688642028630915, 1821, 0.09105
0.018199122801459224, 1735, 0.08675
0.012098877683122023, 1257, 0.06285
0.013712037605341733, 1465, 0.07325
0.01714326151765125, 1786, 0.0893
0.017439635861025843, 1774, 0.0887
0.016436673115399605, 1642, 0.0821
0.01588204052292444, 1596, 0.0798
0.020320175312631392, 2083, 0.10415
0.014910181310114665, 1525, 0.07625
0.017047436027542703, 1683, 0.08415
0.015238359248037512, 1537, 0.07685
0.016185979190184867, 1611, 0.08055
0.013771894403942444, 1430, 0.0715
0.016619490063441187, 1652, 0.0826
0.018161502131030925, 1814, 0.0907
0.018385628659088916, 1878, 0.0939
0.01926569667338074, 1931, 0.09655
0.016300463730678883, 1698, 0.0849
0.01850896630975307, 1772, 0.0886
0.020818782551825094, 2062, 0.1031
0.014946699554578268, 1537, 0.07685
0.01513482568568595, 1536, 0.0768
0.017807824397142992, 1742, 0.0871
0.018056682972698964, 1835, 0.09175
0.008843151225211085, 894, 0.0447
0.016889506292735182, 1697, 0.08485
0.019108380429678058, 1866, 0.0933
0.012444635905444383, 1298, 0.0649
0.017408753052759723, 1811, 0.09055
0.02077424750978407, 2079, 0.10395
0.02036554838156228, 1987, 0.09935
0.013003435228889094, 1331, 0.06655
0.017640612858316473, 1846, 0.0923
0.018466670565354622, 1829, 0.09145
0.017913777223989118, 1822, 0.0911
0.017299291288098914, 1724, 0.0862
0.016558159024240522, 1690, 0.0845
0.01759006192095792, 1784, 0.0892
0.014441237073467969, 1411, 0.07055
0.01519857114922651, 1461, 0.07305
0.014763485321403275, 1492, 0.0746
0.020094254384080034, 1941, 0.09705
0.02266234635700934, 2209, 0.11045
0.013570769052523395, 1384, 0.0692
0.018211592432888522, 1768, 0.0884
0.016186133769777115, 1618, 0.0809
0.015423219355953949, 1543, 0.07715
0.022494834645248034, 2231, 0.11155
0.016382329840071562, 1678, 0.0839
0.017414521739257668, 1790, 0.0895
0.019499226765451575, 1942, 0.0971
0.020531740714758155, 2070, 0.1035
0.021294352311811503, 2130, 0.1065
0.020731169380725188, 2035, 0.10175
0.016733329794943238, 1642, 0.0821
0.02083192500859681, 2028, 0.1014
0.01606136689557228, 1614, 0.0807
0.018126035443813117, 1771, 0.08855
0.014987980509929272, 1469, 0.07345
0.01622666252750647, 1698, 0.0849
0.019738678955495248, 1903, 0.09515
0.018061458307982815, 1771, 0.08855
0.013737222449737897, 1383, 0.06915
0.01883671626130349, 1846, 0.0923
0.02069699264352774, 2097, 0.10485
0.01597812893635696, 1567, 0.07835
0.0175618638401626, 1722, 0.0861
0.011260674557189126, 1141, 0.05705
0.016676821705964656, 1668, 0.0834
0.01893453561896699, 1926, 0.0963
0.009916137807452772, 1049, 0.05245
0.02439815503578991, 2353, 0.11765
0.019720800725875103, 1987, 0.09935
0.014497490819563625, 1488, 0.0744
0.018117673552634675, 1802, 0.0901
0.010956098668019975, 1129, 0.05645
0.022354974143607934, 2119, 0.10595
0.020882299652793698, 2096, 0.1048
0.01648373539077914, 1641, 0.08205
0.0185218209173702, 1761, 0.08805
0.01854607954097179, 1939, 0.09695
0.020247890070301408, 2037, 0.10185
0.016952128483046468, 1683, 0.08415
0.021482424373206774, 2109, 0.10545
0.019797365619198485, 1898, 0.0949
0.017120489552853464, 1768, 0.0884
0.01942608177003016, 1966, 0.0983
0.019376154252067603, 1866, 0.0933
0.018987618130560588, 1873, 0.09365
0.017250233112503774, 1732, 0.0866
0.017271245501350577, 1751, 0.08755
0.020970904610402095, 2023, 0.10115
0.019270640037157546, 1922, 0.0961
0.015877658273330784, 1648, 0.0824
0.023094075809011363, 2268, 0.1134
0.014666031288392212, 1496, 0.0748
0.016297757007859286, 1639, 0.08195
0.020272790354280014, 1990, 0.0995
0.01885008080852174, 1859, 0.09295
0.011579911486632642, 1153, 0.05765
0.01903551560082966, 1899, 0.09495
0.02052008540242081, 2018, 0.1009
0.014745934943051516, 1528, 0.0764
0.012192307451363463, 1259, 0.06295
0.0223003552389727, 2177, 0.10885
0.007631475559934687, 777, 0.03885
0.013803808394955288, 1442, 0.0721
0.012519929404380766, 1271, 0.06355
0.02201539154506956, 2105, 0.10525
0.013471285360415605, 1372, 0.0686
0.01892646834278015, 1920, 0.096
0.01372900831145561, 1429, 0.07145
0.0159863719257641, 1606, 0.0803
0.020977065314841805, 2014, 0.1007
0.013590208041838614, 1415, 0.07075
0.018922252441949464, 1871, 0.09355
0.018761309849514775, 1877, 0.09385
0.023025014378247086, 2219, 0.11095
0.013853384133393903, 1420, 0.071
0.012206024953970062, 1274, 0.0637
0.016350065108362274, 1690, 0.0845
0.017439976593605615, 1825, 0.09125
0.021316986484273975, 2070, 0.1035
0.016020552584728957, 1588, 0.0794
0.01609420148710766, 1699, 0.08495
0.016292945047340628, 1717, 0.08585
0.014683518806105715, 1508, 0.0754
0.01199845188977952, 1282, 0.0641
0.01972241550894384, 1889, 0.09445
0.01775445619826788, 1764, 0.0882
0.02681882631936159, 2542, 0.1271
0.016886185269468806, 1739, 0.08695
0.0165622329682476, 1694, 0.0847
0.021738279648128387, 2169, 0.10845
0.017969040622232486, 1766, 0.0883
0.009772791982575375, 992, 0.0496
0.016400599516626015, 1675, 0.08375
0.018208005853991707, 1798, 0.0899
0.016589749159552417, 1698, 0.0849
0.016973314549576516, 1678, 0.0839
0.015235928297503103, 1588, 0.0794
0.015520207265142328, 1534, 0.0767
0.019013595343820047, 1943, 0.09715
0.019419347621824522, 1979, 0.09895
0.017424412294025863, 1801, 0.09005
0.01357585367283192, 1360, 0.068
0.014721294873360392, 1493, 0.07465
0.01604161619803122, 1628, 0.0814
0.009905567567739372, 1095, 0.05475
0.014275184135214825, 1418, 0.0709
0.024976647080729473, 2373, 0.11865
0.02174719045327269, 2132, 0.1066
0.02028946963387205, 1986, 0.0993
0.01634040239931068, 1616, 0.0808
0.02345112122790425, 2261, 0.11305
0.020928954990339522, 2137, 0.10685
0.019776989999909258, 2047, 0.10235
0.01752058860324988, 1765, 0.08825
0.013122224947013076, 1352, 0.0676
0.01897987355186913, 1948, 0.0974
0.02056669987831361, 2062, 0.1031
0.016278590805922432, 1590, 0.0795
0.01906396713923524, 1897, 0.09485
0.016722645863227345, 1667, 0.08335
0.015458954022180713, 1601, 0.08005
0.017059139193042226, 1780, 0.089
0.016232019839185416, 1651, 0.08255
0.018965589412186082, 1912, 0.0956
0.019073440901474312, 1910, 0.0955
0.012181453491043423, 1242, 0.0621
0.01966407058263977, 2011, 0.10055
0.02189676869008558, 2114, 0.1057
0.01735533504494595, 1716, 0.0858
0.014433377836541066, 1481, 0.07405
0.01875876658254074, 1889, 0.09445
0.017447190260142777, 1777, 0.08885
0.01969057640631559, 1928, 0.0964
0.02321084713724766, 2258, 0.1129
0.01996089585142982, 1982, 0.0991
0.020247350678011186, 1975, 0.09875
0.013719261340151919, 1409, 0.07045
0.0185674939150513, 1804, 0.0902
0.01707867221452793, 1721, 0.08605
0.014404340933123129, 1433, 0.07165
0.0134731352315798, 1398, 0.0699
0.013270174179237385, 1378, 0.0689
0.02295541894159307, 2227, 0.11135
0.01700837549530131, 1721, 0.08605
0.0209863136112337, 2061, 0.10305
0.019310794526143985, 1942, 0.0971
0.017786940380626236, 1759, 0.08795
0.014626866382952543, 1514, 0.0757
